t Density Sender Receiver Contagion Reciprocity ContagionReciprocity EgoInTwoStar EgoOutTwoStar MixedTwoStar TransitiveTriangleT1 oOc.sport oOc.alcohol MixedTwoStarSource MixedTwoStarSink TransitiveTriangleT3 TransitiveTriangleD1 TransitiveTriangleU1 CyclicTriangleC1 CyclicTriangleC3 AlterInTwoStar2 AlterOutTwoStar2 GWSender.0.6931471805599453 GWReceiver.0.6931471805599453 acceptance_rate
107000 17.0 32.0 31.0 13.0 22.0 4.0 40.0 27.0 52.0 16.0 29.0 58.0 62.0 54.0 3.0 23.0 17.0 10.0 0.0 7.0 12.0 6.28125 7.12890625 0.305
108000 20.0 54.0 47.0 32.0 33.0 10.0 62.0 58.0 104.0 33.0 34.0 68.0 120.0 96.0 12.0 43.0 29.0 22.0 2.0 23.0 45.0 4.0 6.16015625 0.337
109000 20.0 54.0 56.0 43.0 35.0 13.0 82.0 59.0 122.0 41.0 33.0 72.0 110.0 126.0 32.0 43.0 46.0 26.0 6.0 37.0 56.0 4.0625 4.94140625 0.312
110000 18.0 53.0 52.0 36.0 30.0 9.0 82.0 63.0 128.0 36.0 29.0 60.0 120.0 115.0 19.0 42.0 40.0 25.0 3.0 35.0 46.0 3.125 4.53515625 0.376
111000 14.0 38.0 31.0 9.0 21.0 1.0 47.0 40.0 71.0 23.0 25.0 47.0 87.0 57.0 3.0 32.0 21.0 16.0 0.0 9.0 17.0 2.71875 5.03515625 0.364
112000 18.0 51.0 45.0 30.0 28.0 7.0 65.0 60.0 114.0 32.0 31.0 54.0 113.0 81.0 15.0 41.0 29.0 20.0 3.0 28.0 38.0 3.6875 5.59765625 0.342
113000 14.0 35.0 35.0 18.0 23.0 5.0 57.0 35.0 78.0 26.0 23.0 51.0 69.0 65.0 10.0 30.0 27.0 16.0 1.0 15.0 20.0 3.40625 4.84765625 0.328
114000 11.0 23.0 18.0 4.0 13.0 1.0 18.0 19.0 33.0 13.0 18.0 37.0 48.0 44.0 0.0 20.0 11.0 11.0 0.0 2.0 6.0 3.4375 5.09375 0.383
115000 12.0 29.0 33.0 20.0 18.0 5.0 57.0 27.0 73.0 22.0 18.0 45.0 61.0 75.0 15.0 22.0 28.0 12.0 2.0 15.0 27.0 3.0625 3.84765625 0.315
116000 19.0 51.0 46.0 30.0 32.0 10.0 63.0 55.0 103.0 33.0 31.0 63.0 112.0 90.0 14.0 42.0 35.0 23.0 3.0 21.0 35.0 3.875 5.72265625 0.353
117000 15.0 39.0 38.0 20.0 24.0 5.0 55.0 39.0 82.0 23.0 25.0 55.0 81.0 83.0 2.0 29.0 26.0 16.0 0.0 15.0 25.0 3.09375 4.28515625 0.312
118000 21.0 58.0 51.0 36.0 35.0 11.0 69.0 64.0 119.0 38.0 37.0 75.0 126.0 101.0 20.0 47.0 34.0 25.0 4.0 26.0 50.0 4.0625 6.28515625 0.362
119000 23.0 58.0 51.0 38.0 35.0 13.0 69.0 62.0 117.0 34.0 40.0 75.0 129.0 108.0 16.0 44.0 28.0 25.0 4.0 31.0 53.0 5.6875 8.00390625 0.352
120000 14.0 34.0 29.0 16.0 19.0 5.0 41.0 39.0 68.0 16.0 25.0 46.0 78.0 58.0 4.0 28.0 18.0 12.0 1.0 12.0 16.0 4.0 5.37890625 0.331
121000 16.0 39.0 30.0 14.0 21.0 3.0 39.0 39.0 63.0 17.0 26.0 47.0 92.0 58.0 4.0 30.0 15.0 13.0 0.0 10.0 19.0 4.09375 6.50390625 0.344
122000 26.0 68.0 69.0 49.0 42.0 14.0 96.0 74.0 150.0 47.0 43.0 85.0 143.0 150.0 32.0 51.0 54.0 33.0 6.0 48.0 64.0 6.0 6.84765625 0.344
123000 21.0 53.0 52.0 37.0 33.0 10.0 71.0 48.0 110.0 38.0 35.0 70.0 112.0 108.0 17.0 40.0 38.0 25.0 2.0 32.0 54.0 4.5 6.28515625 0.353
124000 19.0 50.0 44.0 26.0 28.0 6.0 62.0 55.0 101.0 34.0 30.0 66.0 111.0 81.0 21.0 43.0 32.0 21.0 3.0 21.0 34.0 4.375 6.47265625 0.314
125000 16.0 39.0 35.0 21.0 22.0 5.0 49.0 39.0 76.0 22.0 26.0 54.0 88.0 77.0 7.0 29.0 23.0 14.0 1.0 13.0 29.0 4.09375 5.81640625 0.309
126000 15.0 47.0 40.0 25.0 25.0 6.0 61.0 56.0 101.0 31.0 25.0 54.0 108.0 79.0 14.0 42.0 29.0 20.0 2.0 19.0 33.0 2.0 4.22265625 0.293
127000 10.0 24.0 23.0 9.0 15.0 3.0 42.0 25.0 50.0 16.0 14.0 36.0 47.0 53.0 0.0 21.0 16.0 10.0 0.0 4.0 9.0 2.78125 4.03515625 0.323
128000 19.0 48.0 45.0 32.0 30.0 10.0 61.0 49.0 95.0 33.0 31.0 68.0 104.0 94.0 20.0 38.0 34.0 20.0 3.0 24.0 41.0 4.25 5.84765625 0.333
129000 23.0 56.0 55.0 38.0 35.0 9.0 73.0 54.0 116.0 42.0 37.0 74.0 114.0 99.0 28.0 43.0 40.0 25.0 4.0 33.0 46.0 5.65625 7.16015625 0.322
130000 20.0 46.0 48.0 31.0 32.0 10.0 67.0 42.0 94.0 35.0 31.0 71.0 91.0 95.0 16.0 34.0 36.0 22.0 2.0 23.0 36.0 5.34375 6.41015625 0.353
131000 15.0 45.0 38.0 22.0 23.0 5.0 58.0 53.0 95.0 29.0 25.0 53.0 104.0 70.0 10.0 40.0 28.0 18.0 1.0 18.0 26.0 2.375 4.59765625 0.347
132000 16.0 40.0 38.0 18.0 23.0 3.0 53.0 40.0 81.0 28.0 26.0 57.0 88.0 74.0 6.0 33.0 28.0 17.0 0.0 15.0 21.0 3.84375 5.19140625 0.331
133000 18.0 50.0 47.0 38.0 31.0 12.0 66.0 55.0 107.0 36.0 29.0 64.0 110.0 100.0 24.0 42.0 33.0 21.0 4.0 29.0 47.0 3.375 4.84765625 0.374
134000 17.0 44.0 35.0 22.0 27.0 8.0 43.0 47.0 74.0 25.0 29.0 57.0 97.0 65.0 12.0 39.0 23.0 21.0 3.0 13.0 23.0 3.75 5.87890625 0.325
135000 23.0 55.0 54.0 46.0 34.0 13.0 72.0 53.0 114.0 39.0 38.0 77.0 115.0 112.0 28.0 40.0 37.0 22.0 4.0 38.0 63.0 5.90625 7.41015625 0.364
136000 19.0 46.0 44.0 32.0 28.0 9.0 63.0 50.0 99.0 33.0 30.0 67.0 99.0 87.0 21.0 38.0 32.0 19.0 3.0 25.0 39.0 5.375 6.72265625 0.334
137000 18.0 46.0 38.0 24.0 26.0 7.0 52.0 52.0 92.0 26.0 30.0 58.0 107.0 69.0 10.0 38.0 21.0 19.0 2.0 22.0 30.0 4.5625 6.66015625 0.319
138000 12.0 29.0 24.0 13.0 16.0 4.0 38.0 31.0 57.0 13.0 22.0 42.0 68.0 42.0 3.0 23.0 14.0 9.0 0.0 11.0 15.0 3.34375 5.12890625 0.342
139000 23.0 62.0 58.0 42.0 38.0 12.0 81.0 69.0 139.0 46.0 37.0 78.0 132.0 122.0 25.0 52.0 41.0 32.0 5.0 36.0 62.0 5.0 6.81640625 0.311
140000 13.0 25.0 25.0 14.0 17.0 5.0 42.0 17.0 44.0 15.0 21.0 45.0 45.0 46.0 4.0 17.0 17.0 8.0 0.0 6.0 11.0 4.25 5.91015625 0.352
141000 22.0 60.0 56.0 38.0 37.0 11.0 80.0 66.0 133.0 42.0 35.0 76.0 131.0 110.0 17.0 49.0 41.0 31.0 3.0 30.0 49.0 4.5625 6.56640625 0.345
142000 18.0 56.0 53.0 28.0 32.0 5.0 82.0 67.0 138.0 42.0 28.0 58.0 123.0 96.0 14.0 47.0 39.0 29.0 2.0 26.0 35.0 2.5 4.25390625 0.32
143000 13.0 37.0 33.0 26.0 24.0 9.0 45.0 43.0 77.0 23.0 22.0 44.0 85.0 72.0 16.0 29.0 20.0 17.0 4.0 19.0 34.0 2.375 3.25390625 0.371
