sexF	loc	intern	dropout	fails	finstress	Label	Node_Set
0	0	1	0	0	0	266	1
1	0	0	0	0	1	267	1
0	0	0	1	0	2	268	1
1	0	1	0	0	0	269	1
1	1	0	1	0	2	270	1
0	0	0	1	0	0	271	1
0	0	0	0	0	0	272	1
1	1	0	0	1	0	273	1
1	1	1	1	0	3	274	1
0	0	0	1	1	0	275	1
1	1	0	0	0	3	276	1
0	0	0	0	0	1	277	1
1	1	0	0	0	3	278	1
0	0	0	0	0	3	279	1
0	1	0	1	0	3	280	1
0	1	0	1	0	2	281	1
1	1	0	0	1	2	282	1
0	0	0	0	0	1	283	1
1	0	0	0	0	1	284	1
1	0	1	1	0	2	285	1
0	0	1	0	0	1	286	1
0	1	0	0	0	2	287	1
1	0	1	0	0	3	288	1
1	1	1	1	0	1	289	1
0	1	0	1	0	2	290	1
1	0	0	0	0	0	291	1
1	1	1	0	0	0	292	1
1	0	0	0	0	0	293	1
0	1	0	0	0	1	294	1
1	0	0	0	0	0	295	1
0	0	0	0	0	1	296	1
1	0	1	0	0	0	297	1
1	0	1	0	0	0	298	1
1	0	0	0	0	1	299	1
0	0	0	0	1	2	300	1
0	0	1	0	0	1	301	1
0	1	1	1	0	0	302	1
0	0	0	0	1	0	303	1
0	0	0	0	0	1	304	1
1	0	1	0	0	1	305	1
1	0	1	1	0	0	306	1
1	0	0	0	0	2	307	1
1	0	0	1	0	2	308	1
0	1	0	1	0	2	309	1
1	0	0	1	0	2	310	1
1	0	1	0	0	2	311	1
1	1	0	1	0	3	312	1
1	1	0	1	0	3	313	1
1	1	1	0	0	2	314	1
0	0	1	0	0	2	315	1
1	0	0	0	0	0	316	1
0	0	0	0	0	1	317	1
1	0	0	1	1	2	318	1
1	0	0	0	0	0	319	1
1	1	0	0	0	1	320	1
0	0	0	0	0	1	321	1
0	1	0	1	1	3	322	1
0	1	0	0	1	2	323	1
1	1	0	1	0	2	324	1
0	1	0	0	0	2	325	1
1	0	0	0	0	2	326	1
0	0	1	1	0	1	327	1
1	1	0	0	0	2	328	1
1	0	1	1	0	1	329	1
0	0	0	0	1	0	330	1
0	0	0	0	0	0	331	1
0	0	1	1	0	0	332	1
1	0	1	0	0	1	333	1
0	0	0	0	0	0	334	1
1	0	0	0	0	0	335	1
1	1	0	1	1	1	336	1
0	1	0	0	0	1	337	1
1	0	0	1	0	1	338	1
1	1	1	1	0	2	339	1
1	1	0	1	0	3	340	1
1	0	1	0	0	0	341	1
1	0	1	1	0	3	342	1
1	1	0	1	1	1	343	1
1	0	1	0	0	3	344	1
1	0	0	0	0	3	345	1
0	0	0	1	0	2	346	1
1	1	0	1	0	2	347	1
1	0	0	1	0	0	348	1
0	1	0	0	0	1	349	1
1	0	0	1	0	2	350	1
0	0	1	0	0	3	351	1
0	0	0	0	0	1	352	1
1	0	1	1	0	2	353	1
1	1	0	1	0	2	354	1
0	1	1	0	0	2	355	1
1	1	1	0	0	1	356	1
1	0	0	0	0	0	357	1
1	0	1	0	0	1	358	1
0	0	1	1	0	2	359	1
0	0	0	0	0	0	360	1
0	1	0	0	0	1	361	1
1	1	1	0	0	2	362	1
1	1	0	1	0	2	363	1
1	1	0	0	1	2	364	1
0	0	0	0	1	0	365	1
1	0	0	1	0	0	366	1
0	0	1	0	0	0	367	1
1	0	0	0	0	0	368	1
1	0	0	0	0	1	369	1
1	0	0	0	0	1	370	1
1	1	0	0	0	2	371	1
0	1	1	0	0	2	372	1
1	0	1	0	0	0	373	1
1	0	0	1	0	1	374	1
0	0	0	1	1	0	375	1
1	0	1	0	0	2	376	1
1	0	1	0	0	1	377	1
1	0	1	1	0	0	378	1
1	0	1	0	0	2	379	1
1	0	1	0	0	1	380	1
0	0	1	0	0	1	381	1
0	1	1	0	0	1	382	1
1	0	0	0	0	1	383	1
1	0	0	1	0	2	384	1
0	0	0	0	0	2	385	1
1	1	1	0	0	2	386	1
0	1	1	1	0	3	387	1
0	0	0	0	0	0	388	1
1	1	0	1	0	2	389	1
1	0	1	0	0	2	390	1
1	0	0	0	0	1	391	1
1	1	0	1	0	3	392	1
1	0	1	1	0	2	393	1
1	0	0	1	0	2	394	1
1	0	0	1	1	0	395	1
0	0	0	0	0	0	396	1
0	0	0	0	0	1	397	1
1	0	1	0	0	1	398	1
1	0	0	0	0	0	399	1
1	0	1	0	0	2	400	1
1	0	0	0	0	1	401	1
0	0	0	0	0	2	402	1
0	0	1	0	0	1	403	1
0	0	0	0	0	0	404	1
0	0	0	0	1	2	405	1
1	0	0	1	1	2	406	1
1	0	1	0	0	0	407	1
1	0	1	1	0	3	408	1
1	0	1	0	0	1	409	1
1	1	0	1	1	2	410	1
0	0	1	1	0	2	411	1
0	0	1	0	0	0	412	1
1	0	0	0	0	0	413	1
1	0	0	0	0	1	414	1
0	0	0	0	0	0	415	1
1	0	1	1	0	1	416	1
0	0	1	1	0	2	417	1
1	1	1	0	0	1	418	1
0	1	1	1	0	2	419	1
0	1	0	1	0	1	420	1
1	0	0	1	0	2	421	1
1	0	0	1	0	0	422	1
1	0	0	1	0	1	423	1
1	0	1	0	0	1	424	1
1	0	1	0	0	2	425	1
1	0	1	0	0	2	426	1
1	0	0	0	0	0	427	1
1	0	1	1	0	0	428	1
1	0	0	0	0	0	429	1
1	0	1	0	0	0	430	1
0	0	0	0	0	1	431	1
0	1	0	0	0	0	432	1
1	1	0	1	0	0	433	1
0	0	0	1	1	1	434	1
0	0	0	0	0	0	435	1
0	0	1	1	1	1	436	1
0	0	0	0	0	1	437	1
1	1	1	0	0	1	438	1
1	0	0	0	0	1	439	1
0	0	0	0	0	1	440	1
1	0	1	0	0	0	441	1
0	1	0	1	0	1	442	1
1	1	0	1	1	2	443	1
1	0	0	1	0	1	444	1
1	0	0	0	0	2	445	1
0	1	0	0	0	1	446	1
1	0	0	0	0	2	447	1
1	0	0	0	0	2	448	1
1	0	1	0	0	0	449	1
1	0	1	0	0	2	450	1
1	0	0	0	0	1	451	1
1	0	0	0	0	0	452	1
0	0	0	0	0	0	453	1
0	0	0	0	0	0	454	1
1	0	0	0	0	2	455	1
1	1	0	0	0	1	456	1
1	1	1	1	1	2	457	1
1	1	1	0	0	1	458	1
1	1	1	1	0	1	459	1
1	1	0	1	0	1	460	1
0	0	0	1	0	2	461	1
0	0	0	0	1	0	462	1
0	0	0	0	0	0	463	1
1	0	0	1	1	2	464	1
1	0	0	0	0	0	465	1
1	1	1	0	0	3	466	1
1	1	0	1	0	2	467	1
1	0	0	0	0	3	468	1
1	1	0	1	1	2	469	1
1	0	0	1	1	2	470	1
1	0	1	0	0	1	471	1
1	0	1	0	0	1	472	1
0	0	0	0	0	1	473	1
0	1	0	1	0	0	474	1
0	1	1	1	1	0	475	1
1	0	0	0	0	1	476	1
1	0	0	1	0	0	477	1
1	0	0	0	0	1	478	1
1	0	0	0	0	1	479	1
0	0	1	1	0	2	480	1
1	1	1	1	1	2	481	1
1	1	1	1	0	2	482	1
0	1	1	1	0	1	483	1
1	0	1	1	0	0	484	1
0	0	0	0	0	0	485	1
1	1	1	0	0	0	486	1
1	0	0	0	0	0	487	1
1	0	0	0	1	0	488	1
0	0	0	0	1	0	489	1
0	0	0	0	0	0	490	1
1	0	1	0	0	0	491	1
0	0	0	0	0	0	492	1
0	0	0	0	0	0	493	1
1	0	0	1	0	1	494	1
1	0	0	1	0	0	495	1
1	0	1	1	0	2	496	1
1	0	0	0	0	1	497	1
1	0	1	0	0	1	498	1
0	1	1	0	0	1	499	1
1	0	0	0	0	1	500	1
1	0	0	1	0	0	501	1
1	0	0	1	0	0	502	1
1	0	0	0	0	2	503	1
0	0	0	1	0	1	504	1
0	0	0	0	0	0	505	1
1	0	0	0	0	0	506	1
1	0	0	1	0	0	507	1
0	1	0	1	0	1	508	1
0	1	0	0	0	1	509	1
1	0	0	1	0	1	510	1
1	0	1	0	0	1	511	1
1	1	0	1	0	1	512	1
0	0	0	0	0	1	513	1
0	1	0	1	1	1	514	1
0	1	0	1	0	3	515	1
1	1	1	1	0	2	516	1
1	0	0	0	0	2	517	1
1	0	1	0	0	1	518	1
0	0	0	0	0	0	519	1
0	0	0	1	0	2	520	1
0	1	1	0	0	2	521	1
1	0	1	0	0	0	522	1
1	1	0	1	0	2	523	1
0	0	0	0	0	1	524	1
0	0	0	0	0	2	525	1
0	1	1	0	0	0	526	1
0	0	0	0	0	0	527	1
0	0	0	0	0	1	528	1
1	1	0	1	0	1	529	1
1	0	0	1	0	1	530	1
1	0	0	1	1	2	531	1
0	1	1	0	0	2	532	1
0	0	0	0	0	1	533	1
1	0	0	1	1	2	534	1
0	0	0	0	0	3	535	1
0	0	0	0	0	0	536	1
1	0	0	1	0	3	537	1
1	0	0	0	0	0	538	1
0	1	0	0	0	3	539	1
1	1	0	0	0	0	540	1
0	1	0	0	0	2	541	1
0	1	0	1	0	1	542	1
0	1	1	1	0	1	543	1
1	0	0	1	0	0	544	1
1	1	0	0	0	2	545	1
0	0	1	0	1	1	546	1
1	1	0	1	0	1	547	1
1	0	0	0	0	2	548	1
0	0	0	0	0	2	549	1
0	0	0	0	0	2	550	1
0	1	1	0	1	3	551	1
0	1	1	0	0	3	552	1
1	0	0	1	1	2	553	1
1	0	0	1	0	2	554	1
1	0	0	0	0	0	555	1
0	0	0	0	0	1	556	1
1	0	1	1	1	2	557	1
1	1	0	0	0	2	558	1
1	0	1	0	0	2	559	1
0	0	0	1	1	3	560	1
1	0	0	0	0	0	561	1
1	0	0	1	1	2	562	1
0	0	0	1	1	3	563	1
1	0	0	1	0	0	564	1
1	0	0	0	0	2	565	1
0	0	1	1	0	1	566	1
1	0	0	0	0	0	567	1
1	1	0	1	0	2	568	1
0	0	0	0	0	0	569	1
0	0	0	0	0	1	570	1
1	0	0	1	0	0	571	1
1	0	1	0	0	0	572	1
0	0	0	0	0	0	573	1
1	0	1	0	0	0	574	1
0	0	1	1	1	1	575	1
1	0	0	1	0	1	576	1
0	0	1	0	0	2	577	1
0	0	0	1	0	0	578	1
0	1	0	1	0	1	579	1
0	0	1	0	0	1	580	1
1	0	1	0	0	0	581	1
0	0	0	1	0	2	582	1
1	1	1	0	0	2	583	1
0	0	1	0	0	2	584	1
0	0	0	1	1	3	585	1
1	1	0	1	0	2	586	1
1	0	1	1	0	3	587	1
1	0	1	0	0	2	588	1
0	0	0	0	0	3	589	1
0	0	0	0	0	3	590	1
1	0	0	1	0	2	591	1
1	0	0	0	0	3	592	1
1	1	0	0	0	0	593	1
1	1	1	0	0	2	594	1
0	0	0	0	1	1	595	1
1	0	0	0	0	1	596	1
1	0	1	0	0	0	597	1
0	1	0	1	1	3	598	1
0	1	1	0	0	2	599	1
0	0	0	1	0	2	600	1
1	1	0	0	2	1	601	1
0	0	0	1	0	2	602	1
0	0	0	0	0	2	603	1
0	0	0	1	0	2	604	1
1	1	0	1	0	2	605	1
1	0	1	0	0	3	606	1
0	1	0	1	1	2	607	1
1	1	0	1	0	2	608	1
0	1	0	0	0	2	609	1
1	0	0	0	0	0	610	1
1	0	0	0	0	0	611	1
0	0	1	0	0	0	612	1
0	0	0	1	0	0	613	1
1	0	0	1	0	0	614	1
1	0	0	0	0	0	615	1
0	0	0	0	0	0	616	1
1	0	0	0	0	0	617	1
1	0	0	0	0	0	618	1
0	0	1	1	1	0	619	1
1	0	0	0	0	0	620	1
0	0	0	0	0	0	621	1
1	0	0	1	0	0	622	1
1	0	0	0	1	0	623	1
0	0	1	0	0	0	624	1
1	0	1	0	0	0	625	1
0	0	1	0	0	0	626	1
0	0	0	0	0	0	627	1
1	0	0	0	0	0	628	1
0	0	0	0	1	0	629	1
0	0	0	1	0	0	630	1
0	0	1	0	0	0	631	1
0	0	0	0	0	0	632	1
1	0	0	0	0	0	633	1
1	0	0	0	0	0	634	1
0	0	0	0	0	0	635	1
1	0	0	0	0	0	636	1
0	0	0	0	0	0	637	1
1	0	0	0	0	0	638	1
0	0	1	0	0	0	639	1
0	0	1	0	0	0	640	1
1	0	1	1	0	0	641	1
1	0	1	0	0	0	642	1
1	0	0	0	1	0	643	1
