t Density Sender Receiver Contagion Reciprocity ContagionReciprocity EgoInTwoStar EgoOutTwoStar MixedTwoStar TransitiveTriangleT1 oOc.sport oOc.drugs oOc.alcohol MixedTwoStarSource MixedTwoStarSink TransitiveTriangleT3 TransitiveTriangleD1 TransitiveTriangleU1 CyclicTriangleC1 CyclicTriangleC3 AlterInTwoStar2 AlterOutTwoStar2 acceptance_rate
1500 17.0 40.0 41.0 25.0 27.0 8.0 61.0 37.0 83.0 28.0 27.0 37.0 58.0 81.0 83.0 16.0 31.0 31.0 16.0 2.0 25.0 28.0 0.23
1600 11.0 26.0 21.0 10.0 15.0 3.0 23.0 27.0 44.0 15.0 17.0 27.0 39.0 54.0 43.0 4.0 22.0 14.0 7.0 0.0 5.0 14.0 0.26
1700 16.0 39.0 34.0 21.0 25.0 7.0 35.0 38.0 69.0 27.0 26.0 35.0 56.0 79.0 71.0 14.0 32.0 23.0 15.0 2.0 14.0 30.0 0.15
1800 8.0 15.0 16.0 8.0 10.0 2.0 20.0 11.0 28.0 11.0 12.0 24.0 31.0 28.0 40.0 4.0 12.0 13.0 5.0 0.0 4.0 12.0 0.22
1900 12.0 24.0 24.0 13.0 17.0 4.0 25.0 17.0 38.0 19.0 17.0 31.0 43.0 45.0 59.0 14.0 19.0 20.0 10.0 2.0 10.0 22.0 0.14
2000 11.0 23.0 23.0 13.0 16.0 4.0 24.0 16.0 36.0 16.0 17.0 28.0 38.0 42.0 51.0 14.0 17.0 18.0 8.0 2.0 9.0 20.0 0.21
2100 11.0 18.0 18.0 8.0 15.0 3.0 17.0 11.0 24.0 12.0 18.0 26.0 40.0 30.0 43.0 2.0 13.0 12.0 7.0 0.0 4.0 8.0 0.24
2200 11.0 24.0 26.0 12.0 18.0 4.0 44.0 17.0 46.0 17.0 17.0 23.0 36.0 43.0 51.0 4.0 18.0 20.0 10.0 0.0 6.0 11.0 0.18
2300 14.0 29.0 30.0 15.0 19.0 4.0 48.0 22.0 58.0 17.0 24.0 31.0 48.0 55.0 60.0 5.0 19.0 20.0 9.0 0.0 11.0 21.0 0.23
2400 15.0 41.0 37.0 22.0 23.0 5.0 57.0 45.0 92.0 22.0 27.0 29.0 50.0 90.0 70.0 5.0 30.0 22.0 12.0 0.0 18.0 31.0 0.29
2500 10.0 21.0 24.0 11.0 16.0 4.0 45.0 17.0 47.0 16.0 15.0 25.0 38.0 37.0 55.0 2.0 17.0 20.0 10.0 0.0 8.0 13.0 0.27
2600 17.0 41.0 41.0 29.0 28.0 10.0 60.0 38.0 83.0 28.0 29.0 35.0 63.0 78.0 82.0 20.0 32.0 29.0 16.0 3.0 22.0 34.0 0.17
2700 14.0 31.0 31.0 19.0 21.0 7.0 49.0 29.0 64.0 20.0 23.0 32.0 52.0 60.0 66.0 4.0 25.0 23.0 12.0 0.0 12.0 21.0 0.25
2800 20.0 45.0 46.0 28.0 29.0 7.0 65.0 42.0 94.0 31.0 31.0 40.0 69.0 91.0 88.0 16.0 33.0 33.0 19.0 2.0 21.0 33.0 0.28
2900 13.0 33.0 32.0 17.0 20.0 5.0 52.0 36.0 77.0 18.0 22.0 29.0 48.0 72.0 70.0 1.0 26.0 22.0 12.0 0.0 13.0 22.0 0.27
3000 13.0 29.0 29.0 14.0 17.0 3.0 48.0 26.0 64.0 14.0 22.0 29.0 47.0 62.0 59.0 3.0 19.0 19.0 8.0 0.0 10.0 20.0 0.22
3100 17.0 42.0 41.0 27.0 27.0 9.0 60.0 46.0 90.0 31.0 27.0 38.0 60.0 89.0 90.0 17.0 37.0 34.0 20.0 3.0 22.0 34.0 0.16
3200 15.0 37.0 34.0 20.0 24.0 6.0 45.0 36.0 68.0 23.0 25.0 27.0 54.0 78.0 76.0 11.0 30.0 23.0 17.0 3.0 15.0 28.0 0.18
3300 17.0 45.0 39.0 26.0 27.0 8.0 50.0 49.0 87.0 26.0 29.0 31.0 59.0 99.0 80.0 10.0 37.0 25.0 18.0 2.0 20.0 36.0 0.3
3400 16.0 34.0 39.0 26.0 26.0 9.0 59.0 26.0 72.0 28.0 26.0 37.0 60.0 60.0 90.0 24.0 27.0 32.0 18.0 5.0 22.0 35.0 0.17
3500 16.0 38.0 33.0 17.0 21.0 4.0 49.0 39.0 74.0 18.0 27.0 32.0 53.0 85.0 65.0 3.0 28.0 20.0 11.0 0.0 12.0 25.0 0.22
3600 20.0 51.0 48.0 29.0 30.0 6.0 68.0 53.0 111.0 34.0 32.0 39.0 64.0 110.0 93.0 11.0 39.0 32.0 21.0 1.0 23.0 43.0 0.32
3700 18.0 46.0 44.0 24.0 29.0 6.0 61.0 45.0 94.0 30.0 29.0 35.0 62.0 99.0 91.0 6.0 35.0 30.0 19.0 0.0 19.0 37.0 0.32
3800 16.0 42.0 40.0 21.0 26.0 6.0 59.0 43.0 89.0 25.0 28.0 33.0 57.0 90.0 84.0 5.0 33.0 27.0 15.0 0.0 18.0 29.0 0.3
3900 17.0 44.0 41.0 27.0 27.0 9.0 58.0 44.0 91.0 22.0 30.0 30.0 59.0 96.0 81.0 6.0 30.0 25.0 14.0 1.0 22.0 34.0 0.23
4000 18.0 49.0 44.0 32.0 28.0 9.0 62.0 54.0 102.0 30.0 30.0 35.0 63.0 109.0 85.0 11.0 39.0 28.0 17.0 1.0 25.0 39.0 0.23
4100 17.0 45.0 36.0 23.0 26.0 7.0 35.0 51.0 81.0 28.0 27.0 34.0 60.0 101.0 81.0 8.0 38.0 23.0 17.0 1.0 15.0 39.0 0.27
4200 13.0 34.0 34.0 18.0 19.0 3.0 56.0 37.0 80.0 23.0 19.0 28.0 48.0 77.0 75.0 6.0 27.0 25.0 13.0 0.0 14.0 24.0 0.16
4300 21.0 53.0 47.0 34.0 31.0 10.0 63.0 56.0 104.0 33.0 34.0 41.0 71.0 116.0 90.0 21.0 41.0 30.0 18.0 3.0 26.0 44.0 0.18
4400 16.0 42.0 38.0 26.0 24.0 7.0 52.0 46.0 85.0 26.0 26.0 32.0 58.0 95.0 77.0 9.0 34.0 25.0 15.0 1.0 20.0 34.0 0.21
4500 22.0 53.0 51.0 35.0 34.0 10.0 65.0 52.0 106.0 36.0 37.0 42.0 71.0 115.0 116.0 22.0 41.0 36.0 24.0 5.0 35.0 61.0 0.32
4600 17.0 43.0 40.0 23.0 25.0 6.0 56.0 38.0 84.0 25.0 29.0 34.0 61.0 96.0 86.0 5.0 31.0 27.0 16.0 0.0 19.0 39.0 0.39
4700 22.0 58.0 47.0 31.0 32.0 8.0 61.0 64.0 112.0 32.0 38.0 39.0 70.0 133.0 95.0 9.0 45.0 25.0 20.0 1.0 25.0 54.0 0.23
4800 20.0 51.0 48.0 31.0 30.0 7.0 66.0 51.0 104.0 35.0 33.0 39.0 69.0 114.0 107.0 18.0 39.0 33.0 21.0 2.0 27.0 51.0 0.26
4900 20.0 50.0 48.0 37.0 29.0 9.0 68.0 51.0 108.0 36.0 32.0 41.0 68.0 109.0 97.0 25.0 38.0 33.0 19.0 3.0 31.0 53.0 0.24
5000 19.0 49.0 46.0 31.0 29.0 8.0 63.0 47.0 97.0 33.0 31.0 38.0 67.0 107.0 97.0 18.0 37.0 33.0 19.0 2.0 28.0 49.0 0.25
5100 18.0 48.0 45.0 30.0 28.0 7.0 63.0 50.0 103.0 32.0 30.0 36.0 61.0 105.0 97.0 11.0 37.0 30.0 19.0 1.0 25.0 49.0 0.19
5200 20.0 51.0 45.0 30.0 31.0 9.0 58.0 53.0 97.0 29.0 33.0 37.0 66.0 110.0 89.0 9.0 39.0 28.0 18.0 1.0 23.0 43.0 0.28
5300 15.0 39.0 36.0 23.0 23.0 6.0 50.0 39.0 77.0 24.0 25.0 29.0 56.0 88.0 85.0 13.0 31.0 25.0 16.0 3.0 19.0 38.0 0.23
5400 16.0 39.0 35.0 21.0 22.0 6.0 49.0 43.0 78.0 23.0 26.0 34.0 56.0 89.0 72.0 6.0 32.0 25.0 14.0 1.0 16.0 28.0 0.23
5500 18.0 48.0 42.0 29.0 28.0 9.0 59.0 54.0 99.0 30.0 30.0 37.0 62.0 108.0 89.0 8.0 41.0 29.0 19.0 1.0 23.0 44.0 0.32
5600 17.0 38.0 41.0 28.0 28.0 10.0 61.0 35.0 82.0 29.0 28.0 38.0 63.0 72.0 91.0 24.0 31.0 31.0 18.0 5.0 24.0 35.0 0.35
5700 10.0 25.0 24.0 13.0 17.0 5.0 43.0 25.0 52.0 15.0 17.0 22.0 37.0 50.0 50.0 2.0 21.0 16.0 9.0 0.0 6.0 11.0 0.27
5800 10.0 22.0 23.0 9.0 15.0 3.0 42.0 17.0 43.0 13.0 16.0 24.0 36.0 40.0 46.0 2.0 16.0 17.0 7.0 0.0 5.0 9.0 0.16
5900 12.0 27.0 28.0 15.0 16.0 4.0 48.0 24.0 61.0 16.0 19.0 29.0 44.0 58.0 60.0 4.0 19.0 23.0 9.0 0.0 9.0 21.0 0.24
6000 13.0 32.0 35.0 22.0 22.0 7.0 57.0 27.0 70.0 24.0 21.0 30.0 50.0 60.0 78.0 18.0 25.0 28.0 14.0 3.0 18.0 30.0 0.23
6100 17.0 38.0 39.0 18.0 28.0 6.0 56.0 35.0 78.0 26.0 28.0 35.0 60.0 69.0 77.0 6.0 31.0 28.0 18.0 1.0 14.0 23.0 0.26
6200 18.0 42.0 40.0 22.0 28.0 7.0 55.0 38.0 80.0 25.0 32.0 35.0 64.0 82.0 74.0 5.0 32.0 25.0 15.0 0.0 16.0 24.0 0.25
6300 12.0 30.0 27.0 13.0 17.0 4.0 45.0 26.0 57.0 15.0 21.0 26.0 42.0 65.0 57.0 2.0 23.0 18.0 10.0 0.0 8.0 13.0 0.28
6400 16.0 38.0 35.0 18.0 24.0 6.0 51.0 35.0 72.0 21.0 28.0 33.0 54.0 78.0 67.0 4.0 28.0 23.0 12.0 0.0 13.0 20.0 0.36
6500 19.0 48.0 44.0 34.0 28.0 10.0 62.0 52.0 99.0 31.0 30.0 39.0 67.0 105.0 86.0 21.0 38.0 30.0 17.0 3.0 26.0 42.0 0.29
6600 12.0 32.0 30.0 17.0 18.0 5.0 50.0 40.0 77.0 18.0 19.0 27.0 43.0 73.0 64.0 4.0 27.0 21.0 12.0 1.0 11.0 17.0 0.19
6700 21.0 50.0 50.0 36.0 30.0 10.0 72.0 52.0 103.0 34.0 34.0 40.0 72.0 112.0 107.0 23.0 39.0 38.0 21.0 3.0 33.0 44.0 0.27
6800 16.0 46.0 37.0 21.0 24.0 5.0 53.0 53.0 91.0 25.0 28.0 29.0 57.0 108.0 71.0 7.0 39.0 23.0 17.0 1.0 18.0 31.0 0.29
6900 16.0 44.0 38.0 22.0 25.0 6.0 56.0 47.0 91.0 24.0 28.0 30.0 51.0 100.0 80.0 4.0 34.0 25.0 16.0 0.0 15.0 31.0 0.26
7000 17.0 45.0 38.0 17.0 24.0 3.0 54.0 46.0 86.0 24.0 31.0 31.0 57.0 105.0 73.0 3.0 36.0 24.0 17.0 0.0 20.0 28.0 0.25
7100 24.0 62.0 55.0 41.0 38.0 13.0 72.0 67.0 126.0 38.0 41.0 41.0 76.0 142.0 116.0 22.0 48.0 36.0 27.0 5.0 36.0 58.0 0.33
7200 15.0 36.0 38.0 28.0 24.0 9.0 60.0 31.0 78.0 28.0 24.0 33.0 55.0 72.0 84.0 20.0 29.0 30.0 16.0 3.0 24.0 36.0 0.29
7300 17.0 47.0 46.0 30.0 28.0 7.0 68.0 50.0 106.0 33.0 28.0 33.0 56.0 103.0 97.0 15.0 37.0 33.0 20.0 2.0 28.0 43.0 0.24
7400 18.0 48.0 45.0 24.0 29.0 6.0 65.0 50.0 102.0 30.0 30.0 34.0 60.0 102.0 88.0 7.0 36.0 31.0 18.0 0.0 20.0 34.0 0.35
7500 22.0 52.0 49.0 31.0 33.0 10.0 66.0 49.0 99.0 34.0 35.0 42.0 75.0 110.0 104.0 21.0 39.0 38.0 24.0 4.0 23.0 42.0 0.24
7600 20.0 54.0 46.0 31.0 30.0 8.0 65.0 63.0 115.0 33.0 33.0 37.0 67.0 119.0 89.0 10.0 42.0 30.0 20.0 1.0 21.0 42.0 0.38
7700 20.0 52.0 47.0 39.0 32.0 13.0 63.0 55.0 103.0 32.0 34.0 37.0 70.0 113.0 98.0 20.0 41.0 31.0 20.0 4.0 28.0 50.0 0.26
7800 19.0 50.0 44.0 31.0 29.0 9.0 61.0 57.0 106.0 31.0 32.0 37.0 61.0 110.0 90.0 11.0 41.0 29.0 20.0 2.0 23.0 38.0 0.25
7900 19.0 49.0 47.0 36.0 31.0 11.0 66.0 53.0 105.0 36.0 30.0 38.0 68.0 104.0 97.0 24.0 41.0 35.0 22.0 4.0 28.0 46.0 0.28
8000 16.0 41.0 37.0 22.0 23.0 5.0 53.0 41.0 81.0 23.0 26.0 32.0 56.0 90.0 74.0 6.0 30.0 24.0 13.0 0.0 16.0 32.0 0.19
8100 15.0 38.0 35.0 19.0 23.0 5.0 51.0 38.0 74.0 23.0 24.0 30.0 53.0 82.0 74.0 4.0 29.0 23.0 14.0 0.0 15.0 27.0 0.29
8200 13.0 36.0 30.0 18.0 20.0 6.0 43.0 42.0 71.0 20.0 22.0 27.0 46.0 85.0 69.0 5.0 32.0 22.0 14.0 1.0 13.0 26.0 0.22
8300 16.0 38.0 38.0 20.0 24.0 5.0 56.0 32.0 76.0 22.0 27.0 33.0 56.0 79.0 80.0 7.0 26.0 27.0 13.0 0.0 17.0 34.0 0.25
8400 12.0 28.0 28.0 12.0 19.0 4.0 47.0 28.0 61.0 18.0 20.0 26.0 43.0 56.0 61.0 1.0 23.0 16.0 10.0 0.0 8.0 13.0 0.22
8500 12.0 28.0 29.0 13.0 18.0 4.0 45.0 22.0 54.0 19.0 20.0 29.0 45.0 57.0 69.0 2.0 23.0 24.0 12.0 0.0 12.0 20.0 0.24
8600 15.0 36.0 33.0 10.0 21.0 2.0 52.0 35.0 75.0 17.0 26.0 31.0 53.0 75.0 66.0 0.0 25.0 24.0 13.0 0.0 7.0 15.0 0.23
8700 18.0 49.0 43.0 29.0 28.0 8.0 60.0 53.0 98.0 30.0 30.0 34.0 64.0 112.0 91.0 11.0 39.0 28.0 19.0 1.0 23.0 44.0 0.31
8800 15.0 38.0 35.0 19.0 22.0 5.0 51.0 38.0 75.0 23.0 24.0 32.0 54.0 86.0 82.0 3.0 30.0 26.0 16.0 0.0 14.0 27.0 0.21
8900 17.0 43.0 39.0 30.0 26.0 10.0 54.0 46.0 86.0 26.0 28.0 34.0 61.0 93.0 81.0 8.0 34.0 27.0 16.0 1.0 19.0 34.0 0.2
9000 17.0 44.0 40.0 26.0 25.0 7.0 59.0 50.0 94.0 26.0 27.0 34.0 61.0 96.0 78.0 9.0 35.0 26.0 15.0 1.0 18.0 30.0 0.2
9100 20.0 51.0 47.0 28.0 30.0 7.0 68.0 60.0 118.0 33.0 33.0 38.0 66.0 108.0 91.0 9.0 38.0 30.0 19.0 1.0 23.0 41.0 0.29
9200 19.0 50.0 47.0 35.0 29.0 9.0 68.0 57.0 112.0 35.0 30.0 39.0 65.0 109.0 94.0 21.0 40.0 32.0 19.0 3.0 29.0 46.0 0.21
9300 18.0 51.0 47.0 30.0 29.0 7.0 68.0 55.0 110.0 37.0 30.0 36.0 60.0 116.0 102.0 22.0 43.0 33.0 22.0 3.0 27.0 49.0 0.19
9400 14.0 37.0 40.0 18.0 22.0 4.0 67.0 35.0 91.0 25.0 24.0 30.0 52.0 79.0 85.0 5.0 27.0 33.0 16.0 0.0 15.0 27.0 0.22
9500 17.0 51.0 43.0 29.0 28.0 8.0 62.0 61.0 110.0 31.0 30.0 32.0 56.0 119.0 94.0 11.0 44.0 27.0 21.0 2.0 24.0 46.0 0.25
9600 19.0 52.0 48.0 35.0 30.0 9.0 68.0 59.0 115.0 36.0 33.0 36.0 65.0 115.0 91.0 16.0 43.0 32.0 21.0 2.0 32.0 44.0 0.26
9700 20.0 53.0 48.0 38.0 31.0 11.0 67.0 60.0 115.0 34.0 34.0 39.0 65.0 119.0 97.0 18.0 42.0 31.0 20.0 3.0 33.0 53.0 0.25
9800 17.0 41.0 42.0 25.0 29.0 8.0 60.0 37.0 83.0 30.0 28.0 36.0 60.0 80.0 88.0 17.0 33.0 29.0 17.0 2.0 22.0 33.0 0.21
9900 11.0 24.0 29.0 18.0 17.0 6.0 52.0 19.0 57.0 21.0 16.0 29.0 43.0 46.0 72.0 14.0 20.0 27.0 12.0 2.0 15.0 24.0 0.36
10000 13.0 33.0 34.0 18.0 23.0 6.0 54.0 33.0 74.0 22.0 22.0 29.0 49.0 63.0 73.0 6.0 27.0 24.0 14.0 1.0 14.0 23.0 0.28
10100 18.0 42.0 43.0 28.0 30.0 10.0 62.0 39.0 86.0 31.0 30.0 39.0 67.0 79.0 93.0 24.0 35.0 33.0 20.0 5.0 24.0 36.0 0.19
10200 12.0 26.0 29.0 14.0 18.0 4.0 49.0 21.0 58.0 18.0 19.0 30.0 46.0 49.0 68.0 3.0 20.0 22.0 11.0 0.0 12.0 23.0 0.2
10300 17.0 37.0 35.0 17.0 24.0 5.0 50.0 29.0 65.0 22.0 29.0 34.0 58.0 73.0 67.0 5.0 28.0 24.0 15.0 0.0 11.0 22.0 0.23
10400 20.0 53.0 47.0 32.0 30.0 8.0 67.0 60.0 112.0 38.0 34.0 40.0 69.0 120.0 94.0 22.0 46.0 34.0 23.0 3.0 29.0 49.0 0.35
10500 17.0 43.0 39.0 24.0 25.0 7.0 58.0 49.0 91.0 25.0 28.0 35.0 60.0 93.0 77.0 8.0 35.0 26.0 15.0 1.0 17.0 29.0 0.23
10600 18.0 43.0 42.0 23.0 29.0 7.0 59.0 39.0 84.0 27.0 31.0 36.0 62.0 87.0 86.0 7.0 33.0 27.0 16.0 0.0 21.0 29.0 0.27
10700 16.0 36.0 36.0 21.0 23.0 6.0 55.0 29.0 71.0 23.0 27.0 35.0 57.0 72.0 76.0 7.0 26.0 25.0 13.0 0.0 19.0 29.0 0.22
10800 18.0 45.0 42.0 29.0 27.0 8.0 60.0 45.0 91.0 29.0 29.0 36.0 65.0 98.0 94.0 17.0 35.0 30.0 18.0 3.0 23.0 45.0 0.2
10900 20.0 52.0 46.0 36.0 31.0 11.0 63.0 58.0 110.0 33.0 34.0 37.0 67.0 114.0 98.0 18.0 42.0 28.0 21.0 4.0 29.0 53.0 0.28
11000 17.0 44.0 42.0 32.0 26.0 9.0 62.0 49.0 97.0 31.0 26.0 36.0 62.0 97.0 85.0 21.0 36.0 30.0 17.0 3.0 25.0 39.0 0.27
11100 19.0 52.0 48.0 35.0 31.0 10.0 68.0 58.0 112.0 35.0 31.0 37.0 69.0 113.0 96.0 21.0 41.0 33.0 21.0 3.0 27.0 45.0 0.18
11200 16.0 42.0 40.0 22.0 26.0 6.0 61.0 42.0 87.0 30.0 26.0 33.0 58.0 86.0 84.0 17.0 33.0 29.0 18.0 2.0 19.0 33.0 0.21
11300 14.0 32.0 30.0 12.0 20.0 3.0 48.0 31.0 66.0 18.0 25.0 30.0 51.0 64.0 54.0 3.0 25.0 19.0 11.0 0.0 12.0 16.0 0.22
11400 12.0 30.0 30.0 12.0 19.0 3.0 49.0 26.0 63.0 17.0 21.0 26.0 44.0 58.0 60.0 1.0 23.0 20.0 11.0 0.0 9.0 15.0 0.16
11500 18.0 43.0 40.0 23.0 25.0 5.0 57.0 42.0 85.0 26.0 29.0 36.0 64.0 92.0 78.0 8.0 32.0 27.0 15.0 0.0 17.0 31.0 0.24
11600 19.0 49.0 42.0 26.0 28.0 7.0 56.0 48.0 90.0 27.0 32.0 35.0 65.0 109.0 88.0 9.0 36.0 27.0 18.0 1.0 19.0 42.0 0.27
11700 19.0 48.0 42.0 30.0 28.0 9.0 56.0 51.0 93.0 26.0 32.0 35.0 66.0 105.0 80.0 9.0 36.0 25.0 15.0 1.0 20.0 36.0 0.34
11800 15.0 40.0 37.0 25.0 24.0 7.0 54.0 41.0 83.0 24.0 25.0 29.0 55.0 88.0 85.0 13.0 31.0 25.0 16.0 3.0 19.0 38.0 0.24
11900 17.0 42.0 40.0 24.0 26.0 6.0 57.0 42.0 87.0 28.0 27.0 34.0 61.0 89.0 85.0 9.0 33.0 29.0 18.0 1.0 18.0 36.0 0.16
12000 18.0 45.0 43.0 26.0 28.0 7.0 60.0 43.0 88.0 31.0 30.0 37.0 65.0 95.0 92.0 17.0 36.0 33.0 19.0 2.0 24.0 44.0 0.25
12100 16.0 45.0 41.0 21.0 25.0 3.0 60.0 49.0 98.0 29.0 26.0 31.0 53.0 100.0 85.0 6.0 35.0 26.0 16.0 0.0 17.0 35.0 0.34
12200 15.0 41.0 38.0 25.0 24.0 7.0 56.0 47.0 90.0 25.0 24.0 31.0 54.0 90.0 77.0 7.0 33.0 25.0 15.0 1.0 18.0 30.0 0.25
12300 18.0 49.0 43.0 32.0 29.0 10.0 59.0 54.0 99.0 29.0 30.0 34.0 63.0 107.0 87.0 12.0 39.0 28.0 18.0 2.0 23.0 43.0 0.27
12400 16.0 36.0 34.0 16.0 21.0 4.0 51.0 31.0 71.0 15.0 28.0 32.0 54.0 78.0 67.0 3.0 21.0 21.0 9.0 0.0 14.0 25.0 0.22
12500 12.0 28.0 32.0 18.0 19.0 5.0 54.0 22.0 63.0 19.0 20.0 27.0 46.0 55.0 69.0 7.0 19.0 23.0 10.0 0.0 16.0 21.0 0.22
12600 14.0 33.0 34.0 17.0 22.0 5.0 55.0 32.0 73.0 22.0 23.0 32.0 52.0 65.0 73.0 5.0 26.0 24.0 13.0 0.0 15.0 23.0 0.3
12700 17.0 41.0 39.0 20.0 27.0 6.0 56.0 38.0 79.0 26.0 30.0 34.0 59.0 81.0 81.0 7.0 32.0 26.0 15.0 0.0 17.0 27.0 0.25
12800 16.0 46.0 46.0 35.0 27.0 9.0 70.0 50.0 108.0 35.0 26.0 31.0 54.0 100.0 100.0 25.0 37.0 35.0 20.0 4.0 31.0 48.0 0.25
12900 15.0 38.0 38.0 20.0 23.0 5.0 57.0 34.0 81.0 21.0 26.0 31.0 52.0 82.0 79.0 3.0 25.0 27.0 13.0 0.0 18.0 32.0 0.29
13000 14.0 31.0 32.0 21.0 20.0 7.0 51.0 23.0 59.0 20.0 23.0 31.0 51.0 58.0 63.0 16.0 21.0 25.0 10.0 2.0 14.0 24.0 0.23
13100 13.0 31.0 35.0 25.0 22.0 8.0 57.0 25.0 69.0 25.0 21.0 30.0 51.0 58.0 78.0 20.0 24.0 28.0 14.0 3.0 20.0 33.0 0.27
13200 13.0 33.0 31.0 14.0 19.0 3.0 49.0 30.0 68.0 16.0 22.0 26.0 45.0 70.0 60.0 3.0 23.0 21.0 10.0 0.0 9.0 22.0 0.28
13300 19.0 48.0 41.0 27.0 28.0 8.0 55.0 52.0 93.0 26.0 31.0 35.0 63.0 106.0 80.0 7.0 38.0 25.0 17.0 1.0 19.0 36.0 0.24
13400 16.0 37.0 35.0 17.0 24.0 5.0 52.0 35.0 73.0 22.0 26.0 34.0 55.0 72.0 65.0 5.0 29.0 23.0 13.0 0.0 13.0 22.0 0.23
13500 16.0 43.0 37.0 19.0 24.0 5.0 51.0 48.0 84.0 24.0 27.0 32.0 55.0 97.0 75.0 6.0 35.0 25.0 15.0 1.0 16.0 32.0 0.24
13600 20.0 48.0 44.0 29.0 29.0 9.0 61.0 46.0 93.0 29.0 33.0 40.0 67.0 104.0 86.0 17.0 37.0 30.0 18.0 2.0 22.0 36.0 0.3
13700 21.0 58.0 50.0 32.0 33.0 8.0 68.0 66.0 122.0 34.0 36.0 37.0 68.0 127.0 95.0 9.0 43.0 30.0 21.0 1.0 25.0 48.0 0.27
13800 20.0 50.0 42.0 28.0 31.0 10.0 56.0 54.0 93.0 29.0 34.0 36.0 64.0 109.0 80.0 11.0 40.0 25.0 18.0 2.0 18.0 36.0 0.31
13900 12.0 34.0 28.0 19.0 18.0 5.0 42.0 41.0 69.0 20.0 20.0 21.0 43.0 81.0 48.0 7.0 30.0 17.0 12.0 1.0 13.0 18.0 0.42
14000 16.0 37.0 35.0 20.0 26.0 7.0 52.0 35.0 71.0 23.0 26.0 32.0 54.0 71.0 67.0 8.0 29.0 22.0 14.0 1.0 13.0 21.0 0.34
14100 16.0 41.0 39.0 22.0 25.0 6.0 58.0 41.0 86.0 24.0 28.0 32.0 56.0 86.0 73.0 7.0 31.0 27.0 14.0 0.0 17.0 27.0 0.28
14200 16.0 41.0 37.0 20.0 22.0 3.0 56.0 45.0 90.0 23.0 26.0 32.0 53.0 91.0 75.0 4.0 30.0 22.0 13.0 0.0 15.0 30.0 0.2
14300 14.0 36.0 30.0 10.0 18.0 1.0 47.0 39.0 71.0 19.0 23.0 29.0 50.0 85.0 63.0 1.0 30.0 22.0 14.0 0.0 9.0 17.0 0.26
14400 14.0 36.0 31.0 17.0 20.0 4.0 47.0 37.0 69.0 19.0 23.0 26.0 49.0 83.0 62.0 4.0 27.0 17.0 12.0 0.0 11.0 21.0 0.26
